Item Code,Description,Short Desc.,$ Cost,$ Retail,Sale UOM Code,Sale UOM Conv,Item Class,Item Class 2,Item Class 3,Vendor
863,Tinto Sobre Lias 250ml,Tinto250ml,1.69983,8.1,250ml,1,Alcohol,Alcohol - Wine,Red Wines,Enotria
865,Tinto Sobre Lias 750ml,Tinto750ml,5.1,24,Bottle,1,Alcohol,Alcohol - Wine,Red Wines,Enotria
314,Tinto Sobre Lias Care,TintoButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
1205,Tio Pepe,TioButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
51,Tio Pepe (Component),TioBott,8.87,0,ML,0.0014,Alcohol,Alcohol - Spirits,Sherry,Casa Juilia plc
1204,Tio Pepe Double,Tio50ml,0.591629,4.05,50ml,1,Alcohol,Alcohol - Spirits,Sherry,Trafalgar
1203,Tio Pepe Single,Tio25ml,0.295371,2,25ml,1,Alcohol,Alcohol - Spirits,Sherry,Trafalgar
9033,Tiramisu,Tiramisu,0,7,Each,1,Food,Hot Food,Winter Menu,Trafalgar
1313,Tito's Double,Tito50ml,1.41372,9.3,50ml,1,Alcohol,Alcohol - Spirits,Vodka,Trafalgar
1312,Tito's Single,Tito25ml,0.70686,4.65,25ml,1,Alcohol,Alcohol - Spirits,Vodka,Trafalgar
1314,Tito's Vodka,TitoButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
87,Tito's Vodka (Component),TitoBott,19.8,0,ML,0.0014,Alcohol,Alcohol - Spirits,Vodka,Casa Juilia plc
9061,TrafEnt Staff Discount - 10%,TrafEnt10%,0,0,Each,1,Comps,,,Trafalgar
656,TrafLagar Half,TrafHalf,0.583167,3,HP,1,Alcohol,Alcohol - Beer,Kegs,Euroboozer Ltd
657,TrafLagar Pint,TrafPint,1.166334,6,Pint,1,Alcohol,Alcohol - Beer,Kegs,Euroboozer Ltd
174,TrafLager,TrafButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
332,TrafLager Keg (Component),TrafKeg,102.31,0,Pint,0.0114,Alcohol,Alcohol - Beer,Kegs,Euroboozer Ltd
8031,Turkey Burger,TurkeyBurg,0,16,Each,1,Food,Hot Food,Season Menu,Trafalgar
8026,Tyrell Crisps,Tyrells,0,0,Each,1,Snacks,,,Trafalgar
8023,Tyrell's Cheese & Chive 40g,TyrellChee,0,1.75,Each,1,Snacks,,,Trafalgar
9009,Tyrell's Salt Pepper 150g,TyrellPepp,0,3.25,Each,1,Snacks,,,Trafalgar
8024,Tyrell's Sea Salt 150g,TyrellSea,0,3.25,Each,1,Snacks,,,Trafalgar
8029,Tyrell's Sea Salt 40g,Tyrell Sal,0,1.75,Each,1,Snacks,,,Trafalgar
8025,Tyrell's Vegetable 40g,TyrellVege,0,1.75,Each,1,Snacks,,,Trafalgar
15,Under 25 One Off Subscription,U251OffSub,0,25,Each,1,Packages,,,Trafalgar
3,Under 25 Subscription,U25Sub,0,25,Each,1,Packages,,,Trafalgar
175,Upright IPA (Button),UpIPAButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
660,Upright IPA Half,UpIPAHalf,0.68514,3.4,HP,1,Alcohol,Alcohol - Beer,Kegs,Trafalgar
668,Upright IPA Keg (Component),UpIPAKeg,72.12,0,Pint,0.0189,Alcohol,Alcohol - Beer,Kegs,Euroboozer Ltd
661,Upright IPA Pint,UpIPAPint,1.363068,6.8,Pint,1,Alcohol,Alcohol - Beer,Kegs,Euroboozer Ltd
9067,Valentines Day Special,ValentineS,4.247126,20,Each,1,Food,,,Trafalgar
29,Vanilla Clotted Cream,VanClot,0.46,3.95,Each,1,Ice Cream,,,Marshfield Farm Ice Cream
410,Vegan Fruit Jellies,FruitJelli,1.4,4.1,Each,1,Confectionary,,,Trafalgar
406,Wagyu Beef Burger,WagyuBurge,0,18,Each,1,Food,Hot Food,,Trafalgar
227,Whisky,Whisky,0,0,Each,1,Alcohol,Whisky Single Malt,,Trafalgar
1466,Whitley Neill Parma Violet,WhitPaButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
1465,Whitley Neill Parma Violet Double,WhitPa50ml,1.29948,9.3,50ml,1,Alcohol,Alcohol - Spirits,Gin Flavoured,Trafalgar
67,Whitley Neill Parma Violet Gin (Component),WhitPaBott,18.2,0,ML,0.0014,Alcohol,Alcohol - Spirits,Gin Flavoured,Casa Juilia plc
1464,Whitley Neill Parma Violet Single,WhitPa25ml,0.64974,4.65,25ml,1,Alcohol,Alcohol - Spirits,Gin Flavoured,Trafalgar
1469,Whitley Neill Rhubarb & Ginger,WhitRhButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
1468,Whitley Neill Rhubarb & Ginger Double,WhitRh50ml,1.29948,9.3,50ml,1,Alcohol,Alcohol - Spirits,Gin Flavoured,Trafalgar
68,Whitley Neill Rhubarb & Ginger Gin (Component),WhitRhBott,18.2,0,ML,0.0014,Alcohol,Alcohol - Spirits,Gin Flavoured,Casa Juilia plc
1467,Whitley Neill Rhubarb & Ginger Single,WhitRh25ml,0.64974,4.65,25ml,1,Alcohol,Alcohol - Spirits,Gin Flavoured,Trafalgar
963,Wigmore,Wigmore,0,4.5,Each,1,Food,Hot Food,,Trafalgar
9020,Wild Mushroom Crostini (v),WildMush,0,11.5,Each,1,Food,Hot Food,Winter Menu,Trafalgar
1092,Wooden Stirrers 14cm 1x1000,Stirrers,4.55,0,Each,1,Hot Drinks,,,Cafe Praego
1377,Woodford Reserve,WoodButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
1376,Woodford Reserve Double,Wood50ml,1.72788,9.7,50ml,1,Alcohol,Alcohol - Spirits,Whisky Bourbon,Trafalgar
111,Woodford Reserve Rye Whisky (Component),WoodRBott,33.5,0,ML,0.0014,Alcohol,Alcohol - Spirits,Whisky Rye,Casa Juilia plc
1375,Woodford Reserve Single,Wood25ml,0.86394,4.85,25ml,1,Alcohol,Alcohol - Spirits,Whisky Bourbon,Trafalgar
108,Woodford Reserve Whisky (Component),WoodBott,24.2,0,ML,0.0014,Alcohol,Alcohol - Spirits,Whisky Bourbon,Casa Juilia plc
1386,Woodford Rye,WoodRButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
